10,0.661,0.088,
11,0.651,0.088,
12,0.646,0.09,
13,0.663,0.089,
14,0.662,0.088,
15,0.646,0.086,
16,0.646,0.087,
17,0.647,0.088,
18,0.661,0.089,
19,0.661,0.087,
20,0.649,0.088,
21,0.661,0.088,
22,0.648,0.089,
23,0.66,0.089,
24,0.647,0.088,
25,0.661,0.09,
26,0.662,0.089,
27,0.66,0.089,
28,0.662,0.089,
29,0.66,0.09,
30,0.66,0.089,
31,0.66,0.089,
32,0.66,0.09,
33,0.66,0.09,
34,0.663,0.09,
35,0.661,0.091,
36,0.662,0.09,
37,0.66,0.091,
38,0.662,0.09,
39,0.66,0.092,
40,0.662,0.091,
41,0.661,0.091,
42,0.661,0.091,
43,0.645,0.091,
44,0.662,0.092,
45,0.661,0.091,
46,0.649,0.092,
47,0.662,0.092,
48,0.662,0.092,
49,0.661,0.091,
50,0.661,0.092,
51,0.647,0.092,
52,0.649,0.093,
53,0.66,0.092,
54,0.648,0.092,
55,0.646,0.093,
56,0.662,0.094,
57,0.661,0.094,
58,0.648,0.092,
59,0.646,0.093,
60,0.647,0.093,
61,0.66,0.094,
62,0.648,0.093,
63,0.646,0.093,
64,0.646,0.094,
65,0.66,0.094,
66,0.662,0.095,
67,0.663,0.096,
68,0.661,0.094,
69,0.66,0.095,
70,0.661,0.094,
71,0.647,0.096,
72,0.662,0.096,
73,0.661,0.096,
74,0.661,0.096,
75,0.66,0.097,
76,0.661,0.098,
77,0.664,0.096,
78,0.662,0.097,
79,0.661,0.096,
80,0.662,0.097,
81,0.662,0.097,
82,0.661,0.097,
83,0.66,0.098,
84,0.688,0.098,
85,0.66,0.097,
86,0.657,0.097,
87,0.648,0.099,
88,0.648,0.096,
89,0.646,0.098,
90,0.648,0.096,
91,0.647,0.099,
92,0.661,0.098,
93,0.66,0.099,
94,0.652,0.098,
95,0.646,0.1,
96,0.66,0.1,
97,0.66,0.101,
98,0.662,0.1,
99,0.66,0.101,
100,0.661,0.102,
101,0.66,0.1,
102,0.661,0.1,
103,0.659,0.101,
104,0.661,0.101,
105,0.659,0.101,
106,0.66,0.101,
107,0.662,0.101,
108,0.661,0.102,
109,0.661,0.103,
110,0.661,0.102,
111,0.661,0.102,
112,0.661,0.102,
113,0.66,0.101,
