10,0.14,0.092,
20,0.207,0.091,
30,0.267,0.094,
40,0.322,0.093,
50,0.379,0.092,
60,0.437,0.1,
70,0.497,0.098,
80,0.554,0.102,
90,0.6,0.102,
100,0.662,0.104,
110,0.719,0.105,
120,0.776,0.107,
130,0.818,0.106,
140,0.886,0.111,
150,0.931,0.112,
160,0.997,0.113,
170,1.039,0.116,
180,1.105,0.114,
190,1.154,0.115,
200,1.219,0.115,
210,1.273,0.122,
220,1.327,0.12,
230,1.383,0.122,
240,1.438,0.128,
250,1.512,0.129,
260,1.547,0.132,
270,1.581,0.126,
280,1.66,0.132,
290,1.694,0.136,
300,1.76,0.139,
310,1.798,0.141,
320
