500,0.666,0.169,
510,0.665,0.17,
520,0.666,0.166,
530,0.665,0.167,
540,0.666,0.18,
550,0.667,0.181,
560,0.663,0.171,
570,0.667,0.179,
580,0.665,0.177,
590,0.668,0.177,
600,0.667,0.19,
610,0.666,0.185,
620,0.665,0.182,
630,0.653,0.184,
640,0.666,0.19,
650,0.665,0.187,
660,0.664,0.188,
670,0.663,0.191,
680,0.663,0.194,
690,0.667,0.198,
700,0.665,0.201,
710,0.663,0.197,
720,0.65,0.196,
730,0.653,0.199,
740,0.707,0.202,
750,0.666,0.205,
760,0.665,0.205,
770,0.664,0.206,
780,0.665,0.212,
790,0.666,0.209,
800,0.661,0.215,
810,0.664,0.21,
820,0.663,0.217,
830,0.666,0.216,
840,0.664,0.224,
850,0.665,0.217,
860,0.664,0.225,
870,0.664,0.221,
880,0.662,0.226,
890,0.664,0.234,
900,0.656,0.228,
910,0.653,0.236,
920,0.656,0.229,
930,0.668,0.23,
940,0.663,0.236,
950,0.658,0.235,
960,0.662,0.237,
970,0.664,0.239,
980,0.666,0.241,
990,0.663,0.247,
1000,0.664,0.246,
1010,0.666,0.245,
1020,0.665,0.248,
1030,0.664,0.252,
1040,0.665,0.25,
1050,0.666,0.253,
1060,0.659,0.258,
1070,0.665,0.254,
1080,0.667,0.259,
1090,0.663,0.27,
1100,0.662,0.258,
1110,0.661,0.26,
1120,0.663,0.259,
1130,0.664,0.264,
1140,0.652,0.262,
1150,0.665,0.27,
1160,0.662,0.268,
1170,0.662,0.268,
1180,0.663,0.269,
1190,0.653,0.278,
1200,0.666,0.29,
1210,0.665,0.276,
1220,0.66,0.282,
1230,0.664,0.291,
1240,0.662,0.29,
1250,0.662,0.285,
1260,0.661,0.284,
1270,0.662,0.294,
1280,0.659,0.301,
1290,0.662,0.301,
1300,0.666,0.292,
1310,0.66,0.29,
1320,0.659,0.288,
1330,0.662,0.291,
1340,0.663,0.296,
1350,0.663,0.295,
1360,0.663,0.294,
1370,0.664,0.305,
1380,0.663,0.306,
1390,0.663,0.358,
1400,0.666,0.306,
1410,0.663,0.308,
1420,0.664,0.316,
1430,0.666,0.308,
1440,0.664,0.313,
1450,0.664,0.313,
1460,0.667,0.315,
1470,0.664,0.316,
1480,0.662,0.319,
1490,0.663,0.318,
1500,0.662,0.318,
1510,0.656,0.325,
1520,0.663,0.326,
1530,0.654,0.329,
